feature,stfi_raw,stfi_norm,perm_raw,perm_norm,shap_raw,shap_norm,stfi_rank,perm_rank,shap_rank,seed
ICD_O_3_HISTOLOGY,0.00483005016064342,0.004830050160643421,-0.0005836139169471491,0.0,0.0025184975289380715,0.0052694648474444425,24,27,22,2
ICD_O_3_SITE,0.002483006214092246,0.0024830062140922464,0.005768799102132508,0.017169389050339164,0.015503657096855595,0.03243837849352997,28,12,10,2
INITIAL_PATHOLOGIC_DX_YEAR,0.04522266842026078,0.045222668420260785,0.014343434343434436,0.04268964826134886,0.053913701300002316,0.11280390412603328,4,4,3,2
OS_MONTHS,0.07523571309500258,0.0752357130950026,0.11453423120089798,0.3408825199585781,0.08582530504352229,0.17957271061478083,2,1,1,2
SAMPLE_INITIAL_WEIGHT,0.004398480656404189,0.0043984806564041894,0.010000000000000061,0.029762501252630538,0.013947192574818778,0.02918178006890269,26,8,12,2
SUBMITTED_TUMOR_DX_DAYS_TO,0.011001938557167034,0.011001938557167036,0.008103254769921535,0.02411731302401726,0.03759600479212262,0.07866230694297194,18,10,4,2
TISSUE_SOURCE_SITE,0.0013733713773866826,0.0013733713773866829,0.020561167227833986,0.061195176537395125,0.021747573928671007,0.04550255659081451,30,3,7,2
TUMOR_SITE,0.004742349285970476,0.004742349285970477,0.007833894500561241,0.0233156294885928,0.006425849821380722,0.013444837391998681,25,11,17,2
ETHNICITY,0.013037128479805843,0.013037128479805846,0.0023120089786755984,0.006881117012392512,0.0009182065265599257,0.0019211680610390488,15,20,26,2
HISTORY_NEOADJUVANT_TRTYN,0.011565674343307505,0.011565674343307507,-0.00032547699214363255,0.0,0.0008086474329889651,0.001691937027195835,17,27,27,2
HISTORY_OTHER_MALIGNANCY,0.015752612043012936,0.01575261204301294,-0.0011896745230078035,0.0,0.0006701736213875522,0.0014022075856772,11,27,29,2
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.013702741951476319,0.013702741951476322,0.004231200897867663,0.0125931122022917,0.008643833330163797,0.018085535267399012,14,15,15,2
OCT_EMBEDDED,0.0034456534238829937,0.0034456534238829946,0.0005387205387205903,0.0016033670708489268,0.0023869199116254764,0.004994164347375433,27,23,23,2
PRIMARY_MELANOMA_KNOWN_DX,0.03582296593700846,0.03582296593700847,0.0026936026936027813,0.008016835354244129,0.007514125524863693,0.01572184203382948,5,18,16,2
PROSPECTIVE_COLLECTION,0.01603562702496378,0.016035627024963785,0.0014590347923682226,0.00434245248354905,0.005216846429510749,0.01091523361010171,10,21,18,2
RACE,0.014433407205347143,0.014433407205347146,-0.0012570145903479195,0.0,0.0027577251029187945,0.00577000188476382,12,27,21,2
RADIATION_TREATMENT_ADJUVANT,0.017093177748509707,0.01709317774850971,0.00013468013468017256,0.0004008417677123061,0.00079534120576966,0.001664096342113328,9,25,28,2
RETROSPECTIVE_COLLECTION,0.0056832043299896206,0.005683204329989621,0.0014253647586981628,0.004242242041620923,0.0018699023769947743,0.003912406000208173,21,22,24,2
SAMPLE_COUNT,0.02833467717238606,0.028334677172386066,0.0002469135802469546,0.0007348765741391433,0.0012502910564292646,0.002615990166846096,7,24,25,2
SAMPLE_TYPE,0.012892853991397663,0.012892853991397666,0.0025589225589226273,0.007615993586531877,0.004178318178443339,0.008742315809231302,16,19,19,2
SAMPLE_TYPE_ID,0.02597361249562411,0.025973612495624118,0.005050505050505131,0.01503156628920749,0.003278754821483586,0.0068601549442384125,8,13,20,2
SEX,0.014105005350882167,0.01410500535088217,0.004051627384960799,0.012058656512008723,0.008832483004294546,0.018480247914479907,13,17,14,2
VIAL_NUMBER,0.05569904122569939,0.0556990412256994,1.1223344556691532e-05,3.340348064272338e-05,0.000600754330599548,0.001256961259906075,3,26,30,2
AGE,0.5057751208238072,0.5057751208238073,-0.005683876811594176,0.0,0.014025507304555016,0.03091248858084833,1,9,11,3
AJCC_NODES_PATHOLOGIC_PN,0.005048558321642421,0.005048558321642422,0.00406476449275364,0.017385829822267475,0.015101634283105542,0.0332842931946595,23,5,10,3
AJCC_STAGING_EDITION,0.0035217556902372967,0.0035217556902372976,-0.01399456521739127,0.0,0.03913086953147789,0.08624519108536115,25,9,4,3
DAYS_TO_COLLECTION,0.021889609874813403,0.021889609874813407,0.004721467391304375,0.020194682551213226,0.04612332485078506,0.10165669745846578,8,4,3,3
FORM_COMPLETION_DATE,0.002861691776977192,0.0028616917769771926,0.0007246376811594457,0.0030994237009057176,0.010106376966631822,0.022274649735720672,28,8,13,3
FRACTION_GENOME_ALTERED,0.005991734196145601,0.005991734196145603,-0.010201539855072423,0.0,0.03821759744257253,0.084232321788981,21,9,5,3
ICD_10,0.0023405699381470685,0.002340569938147069,0.0032721920289855173,0.013995835149401933,0.011731711612555304,0.025856918639879992,29,6,12,3
ICD_O_3_HISTOLOGY,0.0016994642924185526,0.001699464292418553,-0.00032835144927536214,0.0,0.00346757340141988,0.007642598648808466,30,9,21,3
ICD_O_3_SITE,0.006484799362277773,0.006484799362277775,0.006759510869565274,0.028911811710010376,0.015541456433336615,0.03425366969572957,19,3,9,3
INITIAL_PATHOLOGIC_DX_YEAR,0.03686456837689111,0.036864568376891116,0.002887228260869612,0.012349266308295985,0.052293530225090055,0.11525594909571296,4,7,2,3
OS_MONTHS,0.061143620739080445,0.06114362073908046,0.1923686594202899,0.8228001355997862,0.080159709067651,0.17667354466338164,3,1,1,3
SAMPLE_INITIAL_WEIGHT,0.008055218522032857,0.008055218522032859,-0.017742300724637648,0.0,0.021830873201680114,0.04811566554442681,17,9,7,3
SUBMITTED_TUMOR_DX_DAYS_TO,0.01411706508517138,0.014117065085171384,-0.006283967391304309,0.0,0.0270387212061621,0.05959386297954274,14,9,6,3
TISSUE_SOURCE_SITE,0.003999261081490628,0.003999261081490629,0.018999094202898588,0.0812630151581191,0.020993131502873366,0.04626926668442595,24,2,8,3
TUMOR_SITE,0.00601003991999367,0.0060100399199936715,-0.004279891304347794,0.0,0.005883196225539381,0.012966677938402461,20,9,18,3
ETHNICITY,0.030716893472152756,0.030716893472152763,-0.00023777173913042127,0.0,0.0013499614008204996,0.002975340961385189,5,9,27,3
HISTORY_NEOADJUVANT_TRTYN,0.01867960704260187,0.018679607042601874,-0.001494565217391249,0.0,0.0016509406673207783,0.0036387050691305345,9,9,24,3
HISTORY_OTHER_MALIGNANCY,0.017963269311790948,0.01796326931179095,-0.0018229166666666296,0.0,0.0011009864901880414,0.002426595456875412,11,9,28,3
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.014901165597031227,0.014901165597031231,-0.001234148550724612,0.0,0.009127645910315096,0.020117507612791075,13,9,14,3
OCT_EMBEDDED,0.0058457756119042375,0.005845775611904238,-0.0015624999999999925,0.0,0.0013612697205501818,0.003000264716150113,22,9,26,3
PRIMARY_MELANOMA_KNOWN_DX,0.01343872632706325,0.013438726327063253,-0.008582427536231863,0.0,0.007142082615414535,0.015741287819284466,15,9,15,3
PROSPECTIVE_COLLECTION,0.007031305746792461,0.007031305746792463,-0.003000452898550706,0.0,0.006290890574057313,0.013865244144912796,18,9,17,3
RACE,0.02360670966994729,0.023606709669947296,-0.00047554347826083885,0.0,0.005029238406535291,0.01108453843675913,6,9,19,3
RADIATION_TREATMENT_ADJUVANT,0.022151352467409544,0.022151352467409548,-0.0005887681159419881,0.0,0.0005806598052871324,0.0012797854088647939,7,9,29,3
